M1,M2
230.5911407470703,479.4906005859375
230.74392700195312,477.3185729980469
230.75469970703125,477.3164367675781
230.65667724609372,477.2386169433594
230.53982543945312,477.1051330566406
230.48638916015625,477.0378723144531
230.75531005859372,477.0201721191406
230.50991821289065,477.2080383300781
230.8214569091797,477.0525207519531
231.0577087402344,477.0723571777344
230.84078979492188,477.0986022949219
230.93292236328125,477.09814453125
231.18605041503903,477.1352233886719
231.3900146484375,477.0476989746094
231.43736267089844,477.04205322265625
231.4566650390625,476.8655700683594
231.55648803710935,476.6570739746094
231.3975524902344,476.8670043945313
231.3699188232422,476.8395690917969
231.52674865722656,476.9402770996094
231.4224090576172,476.85845947265625
231.4464874267578,476.8504943847656
231.40087890625,476.9053649902344
231.5511779785156,478.3740539550781
229.97244262695312,476.6349487304688
229.88804626464844,478.4710693359375
229.9036407470703,476.34661865234375
231.7624053955078,478.6077575683594
229.72018432617188,478.44091796875
229.7274475097656,478.52252197265625
229.68911743164065,476.5719909667969
229.86329650878903,476.5788879394531
229.8788604736328,476.5809020996094
229.8096160888672,476.5113525390625
229.95846557617188,476.7916870117188
230.0979766845703,476.9714965820313
231.0953369140625,476.888427734375
231.0259704589844,476.9904479980469
231.1083831787109,476.9884948730469
231.1015472412109,477.25921630859375
231.1285858154297,477.2127990722656
231.2876892089844,477.0838928222656
231.1085968017578,476.8975830078125
231.1895751953125,477.0694885253906
231.18502807617188,477.0636901855469
231.1742248535156,476.5905456542969
231.7138214111328,476.9046020507813
229.82115173339844,477.0872192382813
231.02980041503903,477.6304626464844
230.9629821777344,477.53033447265625
229.89898681640625,477.4692077636719
229.8671875,477.4503173828125
229.87176513671875,477.4876098632813
229.9272308349609,477.38287353515625
230.129638671875,477.4178466796875
229.5260162353516,476.7274169921875
229.3902282714844,478.79779052734375
229.396728515625,478.8446044921875
230.277099609375,477.2658386230469
230.92315673828125,477.3083190917969
229.1649169921875,477.56689453125
229.24484252929688,477.5037841796875
229.17550659179688,477.421142578125
229.20738220214844,477.4234924316406
229.0072021484375,477.4621276855469
229.18798828125,477.5875549316406
229.873046875,477.62158203125
229.8057403564453,475.6013793945313
229.9791717529297,477.6702270507813
229.95297241210935,477.4334716796875
230.06832885742188,477.4208068847656
229.36669921875,477.4576110839844
229.4143218994141,477.335693359375
229.40576171875,477.3049926757813
230.40023803710935,477.1659240722656
230.4105224609375,477.1549072265625
230.3702392578125,477.129638671875
229.5386962890625,477.0304565429688
228.86907958984372,477.0727844238281
229.5081787109375,477.47308349609375
229.45574951171875,477.5183410644531
229.6060791015625,477.4010925292969
229.3792266845703,477.40618896484375
229.4274444580078,477.4497680664063
229.06271362304688,479.74755859375
228.96153259277344,479.8433532714844
227.86956787109372,477.60150146484375
227.8483123779297,477.5982055664063
228.1343231201172,477.3809814453125
228.1156311035156,477.40338134765625
228.11219787597656,477.4508056640625
225.832275390625,477.6653137207031
226.53500366210935,477.5908203125
226.6480407714844,477.6520690917969
226.20526123046875,477.3108520507813
225.34161376953125,477.6016540527344
225.52191162109372,477.6908874511719
224.97122192382807,477.6005554199219
223.34957885742188,477.4859008789063
223.33392333984372,477.5564270019531
223.4078826904297,477.519775390625
221.6107177734375,479.4493103027344
221.89987182617188,479.5184020996094
221.50808715820312,479.60009765625
221.4517517089844,479.9105224609375
222.32571411132807,479.8719482421875
220.58963012695312,479.5935974121094
222.83546447753903,479.50189208984375
222.9120635986328,479.4216003417969
221.14096069335935,479.4947814941406
222.94390869140625,479.066650390625
220.76914978027344,479.2540588378906
222.761962890625,479.3576354980469
222.94337463378903,479.2681274414063
222.71871948242188,479.2807312011719
220.7505340576172,479.5224914550781
222.3440093994141,479.3173828125
222.61795043945312,479.3949279785156
220.7967071533203,479.3070983886719
220.6311187744141,479.27935791015625
220.29470825195312,479.8613586425781
221.9664001464844,479.8707275390625
221.7218017578125,479.8740234375
222.0003204345703,480.0820617675781
223.0608673095703,480.0679016113281
220.85964965820312,480.1637268066406
