M1,M2
464.3882141,519.4951172
464.0877991,517.8026123
465.0323792,517.8905029
465.1493225,517.3186035
464.9001465,517.4454346
465.5358887,515.3615723
463.8859253,516.8994751
465.1272888,514.9448853
464.1604614,514.9320679
464.9754028,514.7918091
465.3143311,515.3233032
465.2484741,514.0627441
466.5376282,513.9830322
464.6180115,513.918335
466.6589661,512.6937256
466.2589722,513.3942261
464.8392334,514.0994263
463.6383057,512.7776489
464.2791748,512.9863281
464.2105713,513.5101929
464.2132263,511.7718506
464.3733521,512.2180176
464.5292053,512.3375244
466.1925964,513.0878296
466.0981445,512.7666626
466.3574829,511.6090698
466.1121521,512.8458252
466.1304321,512.9490356
465.0299683,514.3972778
467.1091309,513.4235229
466.274231,515.4577026
466.6622925,516.2060547
466.718689,517.6865234
466.7253418,517.1070557
466.9312439,518.5819092
466.2230835,518.8221436
465.6565857,521.9090576
467.0099487,523.3839722
467.1253052,525.7959595
465.3517456,526.0656738
466.6009216,527.3600464
466.3407593,528.9506836
466.4715271,531.6901245
465.4805298,532.4345703
465.3247986,536.177063
463.7030029,538.0084839
463.6313477,536.3010254
463.4449768,540.4311523
463.3876343,542.8240356
461.8727722,545.3478394
462.0073547,546.9465332
461.17099,547.2761841
460.4584961,546.7616577
460.881012,549.2938232
460.8592834,550.6046143
459.0561829,550.9088745
456.8973999,552.607666
457.1790466,551.8424072
457.0888977,551.7724609
455.7544861,551.3464355
455.4919128,552.6036987
453.9045105,552.6726074
452.6165161,551.9165039
451.4552002,551.1299438
451.8873291,550.5668945
450.4851685,550.7264404
449.5715637,550.640564
450.4750061,549.145752
448.5629272,548.7236938
448.7125244,549.0513916
447.9667053,549.1069946
448.9334717,548.0211792
448.0774536,547.2624512
446.510437,547.619812
445.7362671,547.2461548
446.154541,545.4314575
444.6339417,545.5571899
444.7480469,545.3255615
444.9669189,544.7443237
444.3691711,542.4589844
445.1930542,542.5980225
444.5257874,542.3171997
444.4940491,542.4865723
443.9219666,540.5542603
442.6368408,540.1038208
443.3074646,539.0761108
443.2094116,538.3091431
442.1546631,537.2242432
443.1140137,538.3572388
443.2738953,536.4005127
442.6260681,536.1102905
442.2804565,535.5274658
442.2017822,535.3775635
442.5862122,535.5206299
442.0400391,535.6870117
442.6707764,535.3804321
442.7983398,533.225769
443.0268555,533.0062256
442.0293579,532.5960693
440.4667969,532.763916
442.1285095,532.1246948
441.4292297,531.5913696
441.2961426,531.7022705
441.133606,529.0530396
441.2011719,529.2719116
441.227356,529.4394531
441.234436,529.3569336
442.291687,529.1622925
441.6856689,527.8574829
441.3912354,527.8518677
442.1123047,527.7909546
441.1988525,527.2943726
442.8925781,527.9888916
442.9839478,527.9628906
443.5082397,527.6572876
443.9084473,527.9259033
443.7553711,525.8239136
443.946228,525.6976318
444.7357788,525.7824097
444.1889648,526.2104492
444.8069763,526.6140747
447.2754517,524.5472412
448.0241699,525.8983154
449.1299133,525.1462402
448.467865,524.5554199
449.7512512,524.9868164
450.2285156,524.74823
451.5012817,524.3182983
452.7468872,524.723999
454.461731,524.4393921
454.4431152,524.4523926
455.3044128,525.3805542
454.9510803,524.6278076
458.3052063,525.3825073
458.5244141,525.0237427
459.2056885,524.7597046
459.003479,526.0579834
460.6893311,527.0512085
460.7906189,526.4104004
461.8643494,527.0139771
463.4253845,526.8869629
463.0746155,527.5481567
462.888916,527.4383545
463.8840637,526.7766113
465.1688843,527.8540039
464.8320313,527.2529297
464.4706116,527.2455444
465.6936951,527.3950806
466.8495178,527.3672485
466.9785461,527.6055298
466.3707275,528.4675903
467.3925171,528.5268555
468.2957764,527.1696777
468.4421082,527.5820313
468.3054199,527.4699707
467.9478149,528.7012939
468.8010254,528.611084
469.8439331,528.7383423
469.6567078,528.2079468
470.1425781,529.0447998
470.8118286,530.4831543
470.6542053,530.5631714
470.4963989,530.5321655
471.1147461,532.3594971
471.903656,532.321228
470.3692627,530.9481201
471.6372681,532.7977295
470.8678284,532.6481934
470.7035522,532.3890991
469.3328247,532.1134644
469.6579895,534.2225342
469.1835022,533.9052734
469.5353699,534.3053589
468.7267456,533.9119873
