concert,phrase,musician1,musician2,texture,pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF
BrahmsConcertPart1,File8,c1,c2,H,c1_c2,0.972306383994495,0.510434612980862,1.56245416673845,0.0306958855228707,0,1,1.26738027536647
BrahmsConcertPart1,File8,c1,c3,H,c1_c3,1.87298044997567,0.00379633073534441,1.95988414060272,0.00201098439280164,1,1,1.9164322952892
BrahmsConcertPart1,File8,c1,c4,H,c1_c4,2.86550276351302,0.0000011722085907917,1.92533852862234,0.00259477137319375,1,1,2.39542064606768
BrahmsConcertPart1,File8,c1,c5,H,c1_c5,3.20454337175605,0.0000000566153101898437,6.88480102398286,0.000000000000000000000061022496924605,1,1,5.04467219786945
BrahmsConcertPart1,File8,c2,c3,H,c2_c3,1.02396932549011,0.433262272607221,1.25088142211816,0.17161914881504,0,0,1.13742537380414
BrahmsConcertPart1,File8,c2,c4,H,c2_c4,1.51916790868805,0.0400020041310982,1.12359689974058,0.30014555862843,1,0,1.32138240421432
BrahmsConcertPart1,File8,c2,c5,H,c2_c5,1.69691962055392,0.0129008420253723,2.08309034330266,0.000792075647323713,1,1,1.89000498192829
BrahmsConcertPart1,File8,c3,c4,H,c3_c4,5.80045434012292,0.00000000000000000151077615559074,2.18603985329745,0.000354753544335222,1,1,3.99324709671018
BrahmsConcertPart1,File8,c3,c5,H,c3_c5,4.77007834041823,0.0000000000000254819748271181,1.34918723132974,0.104769431292933,1,0,3.05963278587399
BrahmsConcertPart1,File8,c4,c5,H,c4_c5,3.88002933034488,0.000000000111672555268923,1.79184498927877,0.00674708276883754,1,1,2.83593715981183
