data_file,Texture,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,M1 stationarity p,M2 stationarity p
BrahmsConcertPart1_File3_c1_c2_GrangerOutput.txt,H,0.959870296076292,0.529139052316727,1.58300995136775,0.0255263510006112,0.01,0.01
BrahmsConcertPart1_File3_c1_c3_GrangerOutput.txt,H,1.35897886016584,0.0968444057127184,1.66979447967679,0.0143948650566677,0.01,0.01
BrahmsConcertPart1_File3_c1_c4_GrangerOutput.txt,H,1.15838051574739,0.257619945758912,1.62408282423139,0.0195336960125808,0.01,0.01
BrahmsConcertPart1_File3_c1_c5_GrangerOutput.txt,H,1.38335818967067,0.0847160849540568,0.981093584397507,0.496423265031548,0.01,0.01
BrahmsConcertPart1_File3_c2_c3_GrangerOutput.txt,H,1.64355292156287,0.0171681919501447,1.25187536774412,0.168001988484896,0.01,0.01
BrahmsConcertPart1_File3_c2_c4_GrangerOutput.txt,H,1.39192683432775,0.0807675686671675,1.87778007935149,0.00328234809744177,0.01,0.01
BrahmsConcertPart1_File3_c2_c5_GrangerOutput.txt,H,1.71901770996343,0.0102756300469115,1.57235273178428,0.0273320548634007,0.01,0.01
BrahmsConcertPart1_File3_c3_c4_GrangerOutput.txt,H,1.88795665646723,0.00304290810932321,1.18069862171797,0.233747379806985,0.01,0.01
BrahmsConcertPart1_File3_c3_c5_GrangerOutput.txt,H,1.75488614181921,0.0079958639802261,1.28674014765065,0.141386491440967,0.01,0.01
BrahmsConcertPart1_File3_c4_c5_GrangerOutput.txt,H,1.43631682465062,0.0627163245430122,1.08483432245329,0.347032777993041,0.01,0.01
