concert,phrase,musician1,musician2,texture,pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF
BrahmsConcertPart2,File3,c1,c2,H,c1_c2,1.38459286453869,0.0871802436633821,2.69119624005247,0.00000574207553848611,0,1,2.03789455229558
BrahmsConcertPart2,File3,c1,c3,H,c1_c3,1.84683062105901,0.00467429052503282,2.65574501282239,0.00000777226318082997,1,1,2.2512878169407
BrahmsConcertPart2,File3,c1,c4,H,c1_c4,1.28245967737426,0.147840293790153,2.53801997464341,0.0000210254666848784,0,1,1.91023982600883
BrahmsConcertPart2,File3,c1,c5,H,c1_c5,1.05556108431647,0.388723435288976,2.56739685723897,0.000016427063083161,0,1,1.81147897077772
BrahmsConcertPart2,File3,c2,c3,H,c2_c3,1.72149853322959,0.0111115434352935,1.41063074115255,0.0755857022247985,1,0,1.56606463719107
BrahmsConcertPart2,File3,c2,c4,H,c2_c4,1.76723423893293,0.00814452283544071,1.56789083328113,0.0299963797228981,1,1,1.66756253610703
BrahmsConcertPart2,File3,c2,c5,H,c2_c5,2.70356482571594,0.00000516489212429078,2.3930609007848,0.0000699073934280528,1,1,2.54831286325037
BrahmsConcertPart2,File3,c3,c4,H,c3_c4,1.62607776444634,0.0207908832744449,1.62799984647218,0.0205363868527163,1,1,1.62703880545926
BrahmsConcertPart2,File3,c3,c5,H,c3_c5,1.73106381676022,0.0104181350795921,2.70340007122824,0.00000517219094639156,1,1,2.21723194399423
BrahmsConcertPart2,File3,c4,c5,H,c4_c5,2.41521516454783,0.000058289508761489,2.11656477733639,0.00063212812470405,1,1,2.26588997094211
