data_file,Texture,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,M1 stationarity p,M2 stationarity p
BrahmsConcertPart1_File18_c1_c2_GrangerOutput.txt,H,1.50743037862881,0.0442541490379771,1.21836372035798,0.201651256972568,0.01,0.01
BrahmsConcertPart1_File18_c1_c3_GrangerOutput.txt,H,1.15687490589004,0.26347497427979,1.23600729790561,0.186020099099514,0.01,0.01
BrahmsConcertPart1_File18_c1_c4_GrangerOutput.txt,H,1.70845031077464,0.0125804944240396,0.672937340639976,0.906566082231475,0.01,0.01
BrahmsConcertPart1_File18_c1_c5_GrangerOutput.txt,H,1.70799020376178,0.0126187217014472,1.36713735962714,0.0970426687056492,0.01,0.01
BrahmsConcertPart1_File18_c2_c3_GrangerOutput.txt,H,1.29098574646951,0.14312016502391,1.0337907890897,0.419991992487122,0.01,0.01
BrahmsConcertPart1_File18_c2_c4_GrangerOutput.txt,H,1.46695815815408,0.0559838248101193,0.948729095622658,0.546804685716338,0.01,0.01
BrahmsConcertPart1_File18_c2_c5_GrangerOutput.txt,H,2.36743146215201,9.64976221483852e-05,1.83981403002913,0.00515779967310999,0.01,0.01
BrahmsConcertPart1_File18_c3_c4_GrangerOutput.txt,H,1.30301222028357,0.134859634300724,0.68801989255091,0.893581189056276,0.01,0.01
BrahmsConcertPart1_File18_c3_c5_GrangerOutput.txt,H,0.822384773721298,0.736372481335706,1.44882766958078,0.062066205744771,0.01,0.01
BrahmsConcertPart1_File18_c4_c5_GrangerOutput.txt,H,0.918854884621457,0.59275643528559,1.33136497258786,0.116886514955812,0.01,0.01
