M1,M2
474.0000243,539.9807809
470.5658411,534.0609201
473.3034118,538.844846
468.3446988,533.5238768
469.6029938,538.4933656
468.6961657,535.0801235
472.9760106,537.6592301
468.9823345,531.9518208
469.9118517,534.6473864
469.5530155,530.1866704
472.1790326,534.1146694
466.6846088,532.50526
470.7927367,533.5313791
465.9104507,528.7672815
471.0670877,533.5491716
465.7249187,526.7012617
469.5810045,532.7429581
466.2125375,525.6268837
469.2571144,528.4623491
467.6605609,526.5289774
470.0629356,527.7716872
467.111046,523.4981442
468.8879477,523.8218696
466.5804932,523.2569436
469.8550822,522.2769386
466.4594124,517.2591802
467.9367684,520.6099105
465.8300982,512.9388687
470.5784741,515.3345687
465.9410309,511.8850967
468.9275775,514.3790354
465.8062996,509.4779914
468.5419698,511.9609049
464.9475225,506.2524702
467.0757588,508.3286442
463.7383584,504.4100422
465.7804451,508.5338711
464.3664441,504.2613986
465.8376123,506.2965362
462.1255237,503.131744
463.6291169,506.898921
464.0102292,500.8701656
463.3936482,504.4148576
461.3372409,503.5921476
463.9307875,504.4914522
460.4932748,502.3700126
463.9740506,505.7911269
460.3862254,501.9346197
463.6434391,507.8141324
458.6169327,507.2658738
462.6496961,511.7290875
460.7104401,507.3292648
461.2263267,510.9391454
456.8559624,508.7999009
461.8513493,517.5106726
459.5613145,516.8524264
461.3503876,517.7902573
457.9244948,519.5613546
461.23773,520.976316
456.604429,520.465444
460.7671856,522.3381468
457.2393208,523.7123855
461.341222,530.3427781
457.1357523,527.8727649
460.7603551,529.1002709
458.1268666,527.1141585
459.2967018,531.0546937
454.5268822,529.6020703
457.2979443,537.3334335
456.8494753,534.5296608
459.8549435,541.2700934
454.1634689,536.5542994
458.9887009,542.2261293
457.2235627,538.6377696
458.6186079,544.0481532
457.2364718,540.6690613
458.7446024,542.5375874
457.6238749,539.5981581
458.0284934,544.6410996
455.5226825,541.0227398
457.8487819,546.9086365
454.5545894,542.1001246
457.7964992,549.5109407
453.12055,542.3382934
459.2789418,546.7282504
454.9749582,545.626525
460.3918746,550.9338344
454.9283062,545.1785847
458.399853,549.60932
455.0819969,547.0404998
458.3043329,546.6240165
454.8601246,545.1235496
458.2913997,547.6118385
455.6055912,544.0759136
457.9078196,549.5052212
454.7371029,546.2984086
457.0443231,548.0897776
450.9762523,542.4553811
