M1,M2
199.7423713,469.7879461
198.0857249,462.6921499
201.2744878,467.0735841
198.3495014,466.3983983
200.0199891,470.558139
196.8110723,463.0466698
199.8881595,468.4667443
197.9988121,463.8457084
198.5396973,467.9193141
198.6023229,465.7674778
200.8429849,469.9510904
197.4740234,461.945997
200.8688428,469.6440288
197.7788586,461.5330854
199.9727258,467.8388886
196.6112829,459.9061216
198.5983177,467.2449828
197.2889706,461.0311855
199.0048958,469.2945843
195.6504927,461.8660823
197.42139,465.2145017
195.5099176,463.0187917
199.5028505,466.152979
195.2586186,463.3458787
198.4659947,466.0428517
196.980929,460.7483259
198.1177371,467.8781118
195.7373376,459.4750589
198.5455005,463.9568253
195.731185,458.6683786
197.5641455,463.9699962
196.3853699,459.7736012
199.0967616,463.7617137
196.0182479,460.8879594
198.9204592,464.2936919
196.113448,455.7432381
196.9922299,461.2748607
196.3852837,454.9657349
199.0588784,463.7076803
195.6864478,457.0144947
198.0768225,462.784464
193.8362345,458.2516449
198.0932706,460.4288997
195.0824787,457.5445215
197.0808266,463.6002465
193.3777029,459.5397917
197.2615776,462.1301753
194.3040355,457.8247546
196.1886757,463.3601795
193.1825138,454.6220058
196.1992823,462.9517682
193.0275147,457.9048587
194.9893157,465.2165265
194.2937362,458.9710908
196.9599865,460.5047252
194.8843095,457.9896621
197.5059239,462.4278223
194.621672,459.5868719
195.8168743,465.7861308
194.1650472,458.143316
197.7347298,465.4679183
193.3497568,461.6060551
195.9146405,467.787729
194.5520816,458.6821661
195.9273813,466.3551627
193.7814968,460.3560217
195.7626782,463.0753517
193.3656326,461.1623481
194.6986551,463.9787929
193.0850645,461.5270085
194.7003362,464.0834124
191.9584469,462.7083588
196.0261815,467.2749644
192.9738043,459.5127906
196.2535832,466.9226183
192.7515332,459.0456432
193.5983646,466.4192287
194.155507,461.3217191
196.1199592,468.6981561
193.8056473,463.2450744
195.5438517,466.1017654
193.7533475,464.4091169
196.1856834,469.4174981
192.5487999,461.6368356
194.6770143,465.8614084
191.5894922,462.753267
195.8682676,466.6085372
192.2459825,463.4428318
194.9209028,468.2328539
191.2356733,461.3099701
195.704115,471.3905828
192.1072316,462.3005691
196.2756364,469.5373033
193.6784131,464.6282778
195.022983,471.4746416
192.6624126,466.3550816
194.5555737,468.6135127
192.2532582,464.8344084
193.9655943,468.4376229
192.228332,463.8784844
195.2920108,471.6815164
193.4266573,465.6380324
195.2159071,472.4299901
192.3545148,461.5212855
194.6531495,471.3234289
192.9940268,464.9072083
195.0301723,470.8364611
192.4267315,462.0708288
193.5364968,469.8287212
191.5298628,465.5884789
194.113802,466.5254321
190.4861675,462.437104
192.7276155,468.9887687
191.5506925,464.7922781
193.9844472,469.3887279
191.6979377,463.8185619
194.4223941,468.3587483
190.3906684,461.3485577
193.1844512,470.787099
191.4233309,465.6480729
193.7335174,467.9513366
190.0512497,462.6245177
192.9763354,468.454085
192.1005494,464.2057413
193.2628927,470.5366009
190.6392652,464.2094406
192.6515503,471.5583883
191.8037045,464.7871732
192.2375487,467.8735758
190.6948396,465.0280078
193.5492357,470.5121823
190.1735661,462.3183999
193.1587119,470.7200242
191.6970121,462.8078829
193.1620962,468.6897174
191.4535492,464.0653216
192.6802433,469.2078929
191.0471595,464.2746888
193.9542066,469.7994196
191.0052228,462.46181
194.8588018,466.352642
190.9454459,459.1384444
194.3498925,467.508077
190.5606331,460.3311936
193.5999586,467.4206699
191.5614221,458.8481702
194.6451904,465.8648075
191.6785999,461.4490483
194.0336709,466.0548501
191.2975456,462.0900178
193.4038916,467.3363331
191.29585,461.086564
194.7384335,468.7490894
191.2866639,459.9054852
193.1182605,466.5516058
192.8137453,460.5089929
192.5646511,469.6458295
192.3219284,462.4297264
194.3705814,466.39849
189.7253748,462.6388386
194.5063924,466.4709427
192.6731262,460.7976385
193.6395619,468.2145985
191.1776562,462.2926886
194.0221369,467.972852
191.9699718,462.6469898
193.8113986,468.2520309
191.4319612,461.9941136
194.1330075,468.7358933
192.158,460.4290102
194.0549824,463.7471646
191.0264613,460.5266825
193.0542502,466.7722066
189.9322819,458.030208
193.484378,464.5100035
191.457351,462.5164342
193.0982289,464.4318153
190.4631919,462.6312311
195.7370499,464.4941744
191.7995915,461.5700427
193.7887007,467.4848931
192.6891781,461.7345219
194.8126255,465.7679443
189.9524115,459.4627855
192.4662286,464.2389876
192.6295601,461.1155663
193.3679166,465.7618777
192.0627908,459.9236001
194.4438399,468.5060368
191.5501764,461.9702453
193.4259368,468.1144048
192.8621625,459.4330771
193.6918461,468.469763
193.0691871,462.2671989
193.7728703,465.8219412
192.4960275,461.2774135
195.1815446,468.3015529
192.2089101,464.4238253
194.1790947,468.6006243
191.6239289,461.2048965
195.1634719,465.4239061
192.2760212,462.6912272
193.8197215,466.8299171
191.1309288,460.5078873
195.4136746,467.0187517
193.6216298,459.9749991
195.0773204,466.7541598
192.429972,460.8484886
194.3105427,467.4555944
193.3267752,459.9640218
194.3861103,469.5304521
191.8679385,461.6384708
194.4855767,467.454698
192.0769159,463.3953217
193.9905142,467.8776727
192.7988724,461.0010743
194.2886873,468.3566673
191.9405075,462.0351706
195.4694035,467.0964014
190.853289,462.5560341
193.4032124,465.3373609
190.7411144,460.3062795
194.548333,465.8746188
193.0635833,461.6519651
192.9420922,468.3877976
191.8218678,461.3423623
195.1393737,469.951016
190.9550784,460.6259604
192.999613,469.7053235
191.2116583,462.3746207
193.9061067,468.470629
191.3808885,463.4835789
194.2093075,467.0487967
191.7848192,461.4747189
192.6961727,468.1810625
191.7469665,459.8182327
193.1679622,469.1094553
189.7101582,461.5759156
192.9189023,467.6786038
191.817819,461.0651668
193.1288677,468.1983668
190.319113,459.6614041
192.4700235,465.9380115
190.44242,460.3291768
192.4468481,464.8003406
190.4714015,462.8970872
192.894547,465.6440603
189.3138272,460.3430788
192.807263,465.4349038
191.7070773,461.2600681
192.829596,467.5398214
190.9384646,460.7195697
193.2502299,465.6519522
191.5600249,460.5538174
193.6308444,467.1759839
190.2229469,462.8433451
192.5734551,465.9984442
191.7462659,460.3035853
193.543597,464.7020803
190.0429345,462.2095883
193.2227503,464.2827809
190.2770056,459.0177854
194.1971424,467.7657164
191.2557262,462.8584977
192.035463,465.0217145
190.5424883,457.1723059
193.1814669,464.47651
192.0795553,457.7748848
193.1723124,462.7517553
190.9376432,458.1408586
193.8917276,465.8500986
191.4419643,459.2943062
194.2814256,466.0595223
191.0811436,458.5994442
194.7851783,463.7547388
192.1381014,460.3044523
193.2645712,462.1337511
189.8368046,456.6032142
192.8905178,463.4400875
191.2434679,458.2880401
194.2730098,464.4011951
189.6953497,458.2145464
193.2740664,465.9806461
188.8692231,460.0581181
192.1091585,464.9103078
191.1912762,458.2249509
192.2060546,462.0854486
191.7978004,458.8565443
192.9953164,465.9976926
189.4163623,460.7604871
191.4232342,465.2506203
190.6469324,458.8993127
193.7060422,463.5140868
191.7949335,460.9436763
194.2417499,466.7915532
191.221578,461.4989402
191.6183291,465.6703351
191.3941853,460.0004726
194.1378175,467.6506542
190.3441339,461.417406
192.7620922,468.2467131
190.0768903,460.6865941
192.3047198,468.4788837
190.4091769,461.2597156
191.879205,467.354752
189.9656869,463.3076271
192.7011598,468.2938067
191.707232,464.7684084
192.790542,469.2610636
190.8876697,462.1425603
193.3680627,467.4808504
190.0705654,460.4661193
192.6831718,468.3843635
192.1719912,461.0443235
193.1109006,467.9272975
191.9208745,463.9176439
193.2566097,469.3522799
192.8929705,463.3856506
195.0176852,465.7896492
191.7218161,462.7727827
192.0880823,467.2604817
190.0332197,462.1199318
193.9955308,464.2685
190.5768483,462.2186773
192.0402496,468.090616
190.2968015,461.2972923
192.9184143,465.9073214
190.0498867,462.3469503
192.6522779,468.1077273
191.0090903,459.81414
193.0708987,464.5722559
192.4075713,458.3836283
194.6447283,467.387908
191.9971,462.5835686
193.324207,464.5907457
191.3530128,461.9881855
192.848465,466.7254044
190.3331584,460.5992104
192.3805078,468.2382296
191.0784521,462.5277334
193.0209085,466.9506171
190.3263637,460.3903289
194.4665206,469.3046789
190.8490478,462.9532875
191.9666685,466.9242103
190.7633104,463.6888666
192.5712956,467.4917815
189.9984909,462.3944163
191.3772082,468.829188
190.4797104,462.5598538
192.7987971,467.699675
190.4544877,461.2181024
192.8107293,469.4100047
190.2215391,462.9229872
192.1291782,469.0151936
189.8661391,461.4125101
192.0874125,469.7412931
190.0962781,462.0417427
193.5520175,469.039834
190.8812412,460.4295835
192.8592286,470.4999757
190.1178338,462.3349768
191.6860071,469.2418516
189.4772563,463.8509552
191.9957228,467.0464552
189.1108119,463.001934
193.7637431,468.0497971
191.3805706,463.2417378
193.029962,467.1486224
191.6950409,461.4353164
191.4420001,466.4896399
190.5698671,462.5538055
193.0171698,465.0277232
190.8260578,460.2561625
192.6364823,467.6188564
189.9450439,460.8430434
192.1584775,468.0721956
191.0859727,462.0419253
191.5328971,469.4013271
189.7190596,462.6433567
192.8379007,469.0050317
190.7331001,462.5183046
192.5787964,464.8303502
191.4840388,461.1267403
192.0298341,466.5597855
190.7635583,461.1241659
192.0007027,466.9111595
191.5832301,461.9804033
192.0820456,464.2650902
188.9081797,459.5638188
194.4366341,464.2735184
191.0296644,455.9025776
193.409289,463.7991497
190.9709144,457.3155358
193.0519614,464.4276027
191.547284,455.7282653
193.417882,460.708248
190.990551,456.476896
192.2604019,459.5280859
190.1133454,452.884526
192.2669752,457.5544686
190.1566963,455.6432962
192.0243443,460.8620083
191.6122667,452.2881631
192.1646085,460.9271022
189.4984425,453.4105388
191.2879337,459.6806061
189.0438489,453.494773
192.3453494,458.3828585
189.2369902,454.5642195
191.7427901,460.5590094
188.8057279,456.058639
190.5796792,459.5388646
189.2610195,455.3546499
192.007194,463.3006954
189.495009,453.6272628
191.822738,462.0476162
190.586556,456.8054852
192.9053947,463.4411084
189.5545469,454.1367456
192.0871059,460.6318576
189.0536037,454.9114146
191.1214251,461.1204703
187.9668985,453.6919208
191.0255237,460.4821821
187.8679544,454.9594991
190.3618952,460.321802
189.7190755,455.0905295
190.6522648,462.0008479
188.7820798,456.8303939
190.9330596,460.7278547
188.7288116,457.5836858
190.2987885,462.5550806
189.2116689,459.0482269
191.6811792,462.9724996
189.4906229,458.2607899
191.4664584,461.3659268
188.3816972,457.6801336
190.7752543,464.4476099
187.7537878,458.8066919
190.574826,464.2693725
188.4942847,460.7783302
190.8992313,462.7514035
189.3922352,456.2310457
191.799,462.9815099
189.0056999,460.5105465
189.93414,465.9839336
188.5131821,460.7573358
190.6613755,467.27132
188.202852,459.6838655
189.3445334,466.2043897
189.4230108,461.5635063
192.1127078,464.4988873
189.3587815,457.8723804
190.3051121,466.4503483
188.5938536,458.8129358
191.190185,464.9171761
187.9777062,460.387337
190.0243044,467.6777333
189.3977786,462.4690399
191.7475017,465.8819792
189.4368681,460.6326708
191.2760582,463.4061199
188.2317656,457.4535065
190.9695911,465.6816967
188.340057,458.7855809
191.1575737,464.7105058
189.9212732,460.5606674
191.1660912,465.8943952
189.5086893,457.5775233
191.8217364,464.2484
190.1163524,460.3743848
191.4592007,467.2813131
189.7890247,458.0214474
191.0117145,466.5919339
189.4122116,460.8771531
191.2151665,466.3830558
189.0939512,460.6263496
192.9680916,462.8423533
190.1272575,459.080424
192.0941153,464.1805424
188.2547927,459.0846584
190.1508482,461.0081237
188.609152,457.7126051
191.8391407,461.2992041
188.9504265,457.4683765
190.9952656,460.8344067
188.6807356,456.7651518
191.0879939,464.3121253
190.1419153,456.1953821
191.8265947,463.6403772
189.7700806,459.5353767
190.6834942,462.9965268
188.2719117,458.0833615
191.8282681,462.031995
189.3612109,457.3663413
191.7378922,460.5034969
188.4332596,456.5190172
191.7208222,463.2039723
188.7382326,458.5256411
189.8952903,461.0134161
188.3038656,454.860453
190.4542191,462.7692087
187.5695535,455.6862792
191.5914814,464.7829421
188.8356073,457.2566128
190.7997086,462.1849114
189.2861903,459.6105572
190.947157,461.1319216
189.4698389,457.5897925
191.9180241,465.1849731
188.6451292,455.6880013
192.756722,462.1206992
190.4665156,455.3842797
191.8857553,466.3033055
190.0479039,458.631895
191.307692,464.308249
189.3897432,461.0192776
191.7723935,465.0986054
189.6647374,459.183066
192.5701314,463.8202139
188.9153371,458.4361299
191.9009538,465.8854882
189.3341264,459.0971256
192.6834636,463.4141497
190.1813864,458.0207022
190.9351342,463.4334565
189.3084316,459.8367126
191.6772246,467.2902024
187.9947837,458.2214964
190.1044592,464.6186089
187.4836716,460.2672701
190.0590903,465.301378
188.7426218,462.1379321
189.6736572,463.7537686
187.3330153,456.602386
191.3654797,465.2821742
189.6078594,459.7664964
191.9211177,462.4547309
190.2434869,458.4359012
191.9471614,463.6238331
187.5549537,462.1213979
191.8882312,463.5834062
190.3831666,460.8947133
190.9699612,466.5814665
189.0026833,462.8763361
191.7134068,465.6884714
