M1,M2
462.0868972,498.9808956
462.9156367,490.0796017
463.1391535,499.464295
463.7139416,487.7811829
458.2328006,498.7218314
458.3040788,488.1117368
465.5200262,498.7497536
465.8879279,486.8411134
464.2356254,496.3087042
464.4912016,484.7724752
464.1628436,498.4071469
464.0577365,487.8881284
464.7727937,497.9711039
465.5912973,487.2453911
464.1574958,495.9913148
459.225188,489.7934501
459.2864861,497.4103165
463.9682001,486.776414
464.1623232,500.1199535
465.730585,491.9847573
463.7495782,501.7633113
459.2388476,492.3048704
460.0809106,504.3185282
465.9747041,497.8218257
464.4120691,510.5374426
463.8034827,502.6478323
463.9668729,512.8616173
464.473996,506.2713285
464.1016409,520.4044636
465.3959516,513.7133883
466.4678706,532.261369
465.8944702,519.9502417
460.9074333,529.9254072
459.5383515,520.8214981
459.9607933,535.0177976
459.6215709,526.2067853
461.3146055,540.9492145
460.0268364,533.4001627
460.0675659,541.4325664
459.9745335,533.197899
461.0549016,543.9979549
460.1973292,535.7894348
460.9826216,547.8975275
461.1231287,538.8561587
459.1655017,549.5399243
458.8150015,539.2377749
459.6082595,552.0502627
459.8028831,541.0241688
458.2146018,553.0635089
457.2907818,543.1741729
457.8930797,554.0294841
456.8806534,542.4576392
456.9039445,553.1055781
456.5458667,541.6592566
456.1305665,553.1291978
455.2264174,542.0274987
459.6230923,552.6296322
460.4737694,541.9571455
457.8488158,553.4189675
456.595995,542.0466949
455.6908281,555.1557194
456.2493639,542.7836222
456.2741508,553.1912884
454.2377836,542.1585447
470.2996662,558.0472981
449.7677846,536.5567199
454.833903,552.223598
448.5504428,535.8706638
448.6029769,548.3222221
448.8694022,536.0698062
449.2662962,565.1006255
448.1243415,536.945338
448.9644831,550.0601156
447.4530416,535.2268911
448.3000908,546.9064891
447.4417724,534.9973634
448.5603136,545.9100036
445.6436104,532.8835884
445.7882314,543.5811068
445.4631343,531.2932116
444.4657155,541.8649122
443.4629515,529.5183011
444.6599811,540.4611528
442.7348428,533.276785
441.4064947,553.1102275
440.2278432,524.1107981
440.0066608,534.1808792
440.8170705,526.5853554
443.6255949,538.6267688
446.5502527,531.0957748
435.9987567,528.8816069
440.1015928,522.9161853
443.4474476,536.2961142
444.2905897,525.5105655
440.1048114,528.8928668
440.4255999,517.4734903
437.0672278,525.2681441
435.9174896,515.4190958
435.7848386,525.2206648
439.932954,515.2510927
434.0179684,522.9124736
434.184169,510.4563237
434.8310961,520.1021326
432.211504,510.355628
431.4713462,519.4676316
432.3251613,509.313716
430.2221137,519.344011
430.251579,507.6507229
429.4600226,519.165143
429.5514956,508.7264287
429.8634811,519.7202798
430.0717882,508.1364396
428.9181895,518.2481774
424.1098247,510.2514245
424.4016303,519.9088984
431.2033843,511.4203927
424.5849799,520.9478472
422.7756145,510.7778819
423.4950541,522.1338822
423.7264769,513.7595818
424.9964625,524.6680999
423.2891478,515.0112626
424.681019,540.3178498
424.5155359,514.8042766
424.1352995,527.8124782
424.11271,516.2241143
424.8195747,527.7015157
424.947927,517.0818448
423.2749583,527.9629701
424.5301202,519.333138
424.151926,531.8900849
425.0366413,520.1377809
425.5975821,529.6624246
425.4541345,520.891097
423.4384545,532.257021
424.087912,521.6678982
423.1657677,534.1791022
429.0995292,526.2374582
429.0550687,534.7678418
430.1046431,525.2578084
430.6102018,536.8256696
430.4938788,526.2311678
430.0192283,536.6583066
430.8004525,528.0766401
432.6775285,538.9083249
431.9114283,529.1236297
432.9636782,539.9380927
432.0228967,529.1685843
433.8694044,541.9051285
435.1798038,530.7785462
436.9790813,542.5659223
443.3051119,539.0095484
442.7865876,548.6058781
443.0698668,538.3284846
442.9701398,551.44536
446.8627257,540.4944323
446.6834552,552.5938352
446.0571322,543.3950172
447.1437162,555.1665669
447.2236777,543.0048028
449.2229721,555.3212577
448.6534236,543.7918014
450.6750927,555.8349309
453.4988179,545.0779744
454.5363745,555.0928696
454.1781873,544.4275441
456.0372614,559.5294375
457.1006627,543.7051578
453.2317642,550.7127638
454.1658179,537.3579607
455.6316439,547.1145972
450.9328514,538.4192633
453.2939118,548.5851826
453.0255952,536.3386953
453.116169,545.4262633
458.2390276,534.9988083
453.9882127,543.9283495
454.8244291,533.120023
455.3923056,546.345661
456.1070879,533.397525
456.1521505,544.8507766
456.4208404,533.5729231
457.0243216,542.4945963
457.0017457,531.6627166
458.0360305,542.4624078
457.5778755,531.7548561
458.5091665,541.4072848
458.834714,529.6028725
458.9214064,540.2682616
459.0740644,529.5578374
458.4743505,538.5034893
459.6455673,527.819842
458.4913064,539.0005798
458.5812167,526.3471198
459.4694024,537.7917114
464.0839508,525.6298773
465.0696304,536.6007202
464.0058517,525.4295691
464.0553094,536.0102179
464.2959512,525.2644885
464.3975555,535.2894586
464.3277649,524.6299072
464.6443909,534.3138568
464.1582733,523.1769928
464.6194958,531.880462
464.5774402,521.3849139
465.0019849,531.3086383
464.3322363,519.2743359
464.6422156,529.139826
465.2968579,517.4263037
465.3797607,525.1175183
465.331572,514.5633765
464.8378107,523.0636749
464.9002899,512.6873071
465.1240128,523.3596967
464.6987732,512.1528497
464.2574304,521.1276361
464.52336,509.4150623
463.8557867,518.4825507
463.1301453,508.1280139
462.991712,519.7179883
463.2501791,509.0487671
463.3281573,519.4253571
462.5039026,508.4665741
466.7148438,512.727417
466.7218018,512.6690674
466.1090393,512.6238403
466.7348938,514.2744141
466.3586121,514.6550903
466.1311951,516.4440308
465.8905945,517.4102173
465.8876648,517.3352661
465.0223083,518.0726929
464.9969482,518.6066284
464.4185791,521.4343262
464.3701172,521.449707
464.866272,523.4563599
464.9396973,523.7259521
465.6504517,526.9381714
464.8063354,529.2614136
466.3612671,531.8858032
466.1493225,533.9625854
467.6113586,535.1376953
467.699585,535.3319092
467.484314,538.1224976
467.1878662,538.9570313
465.8289795,540.7286987
466.6043701,541.4910889
466.5950317,544.125
466.8002319,543.7336426
466.6469727,544.6472168
466.1984558,545.067627
467.7545776,545.5097046
467.651001,547.0048828
467.510376,547.75177
468.12854,547.6602173
467.3425903,547.4369507
467.8499756,547.3256226
467.4163208,547.6586914
468.1278992,547.3615723
468.0884399,547.2952881
467.1631775,547.1644287
467.5676575,547.22229
468.3981628,547.4552612
467.8634644,546.916687
467.3067017,544.4414063
466.8754272,544.5633545
467.6970215,544.5221558
468.4048462,542.4007568
468.1420288,542.3359375
468.0288696,540.5882568
467.3632813,540.6757202
468.1064453,538.168335
468.3479614,538.7241211
468.1453247,538.5621948
468.5397339,537.9768066
467.8264771,536.8740234
466.9778442,536.7875977
467.4985962,534.8063354
467.372467,534.7067261
467.4484863,532.8782959
468.5740051,532.6539917
468.6937866,531.6309814
468.3808289,531.6737061
468.3104248,528.9767456
467.6074219,528.164978
467.5263062,528.1785889
467.7224121,527.918457
467.5461426,526.5045776
467.3171387,525.4645386
467.0028992,523.5336304
467.1053467,519.7537842
467.6959229,520.4592285
467.327301,517.9125977
466.9389648,519.1992798
466.3785095,517.7183228
466.4170837,514.8815308
466.9846802,514.1184082
466.9561768,514.0040283
466.5838623,514.9710693
466.9359741,512.8145142
466.618988,514.3477783
467.3570862,513.6062622
466.2594299,513.8761597
466.0210571,512.6513672
465.678833,513.6557617
465.2372437,514.2869263
465.8164063,513.9865112
465.6715088,517.1622925
465.1416016,518.149231
465.101532,518.0756226
464.9779663,518.7024536
464.1124268,519.0648804
464.4407959,520.5952148
462.8869629,520.7171631
463.2358398,522.2810669
463.2631836,522.1313477
463.2783813,523.3167725
462.8731079,525.2015381
461.96698,527.1970825
462.2971802,527.7866821
462.3480835,528.0803833
461.4038086,528.9975586
461.09021,529.9907837
460.5084839,530.6621094
460.6502686,531.2977295
460.9636841,533.1356812
458.8171387,534.9437866
459.3229675,534.8380127
458.6825256,535.9188843
457.8341675,536.5766602
459.3030396,537.8144531
463.9305115,537.5408325
460.447937,538.1865845
458.7132263,537.8153687
457.6808167,539.2613525
459.6611938,540.213501
460.436615,539.9924316
458.1469116,539.9520874
460.1812134,538.6690063
460.1773682,538.6094971
459.72052,537.9935303
457.8339233,537.9210205
457.8986511,536.0515137
459.6463928,535.8752441
460.9595337,533.6679077
460.8854675,531.9593506
461.4183655,529.9412231
461.058197,528.7072144
459.7953796,526.5088501
461.0310364,523.2393188
460.9795532,521.7104492
461.0166016,521.6787109
458.9455872,518.7387695
461.0731201,516.5594482
461.0731201,513.4817505
460.2673035,512.7851563
461.7252197,511.0976563
461.785553,511.0409851
460.9248352,511.0731812
460.2178345,509.4050903
460.2587585,508.0024109
460.2156372,507.5806885
460.7265625,509.3233337
460.9450684,509.0463562
460.1390991,507.8414917
462.4256592,508.6383972
461.0420532,510.3227234
461.6202393,511.1393433
463.0487671,512.9107666
461.9719238,513.1689453
461.9601746,514.6091309
462.964325,519.3527832
462.9685974,519.2642212
463.1972656,520.901001
462.4780273,523.0123901
462.7075806,523.0101318
464.1171265,525.8324585
464.0296631,527.3563232
462.8131104,529.9058838
462.8643188,530.9822388
464.7139893,533.1164551
464.8700562,533.0791626
464.2202148,534.3334961
464.0254211,535.7705078
463.2893066,537.6866455
463.1639709,539.947998
463.2807312,540.8768921
464.3529053,542.7648926
464.0126953,542.9052734
464.8170471,545.0307617
464.6123047,545.1604004
464.1168213,548.2913818
464.8483582,548.7093506
464.8230286,548.8712158
463.5350342,549.0363159
462.875061,550.4241943
463.867218,552.9313965
464.1095276,552.7468262
463.673645,554.4418945
463.6795044,554.4613037
463.8404541,554.2323608
462.8652344,554.6261597
462.3131104,556.5691528
461.1078796,556.4290161
459.6263733,556.4115601
460.5111084,556.437561
459.0166016,556.7241821
457.1571655,556.7641602
456.9868774,557.2346191
456.3433228,557.1260986
455.7181396,556.8959351
454.8047485,554.8579102
454.6586304,555.1652832
453.2289429,555.3422241
454.0990295,553.5078125
453.9703369,553.2142334
454.225647,553.1908569
454.2421265,553.1439819
455.045105,552.5907593
454.8492737,551.5540161
456.537323,551.2388916
457.7266235,549.1568604
458.5669556,549.0686646
458.8254395,549.4779053
461.1755981,547.520813
462.4916382,547.630188
463.4588623,545.7124634
464.5643616,545.5205078
464.5281067,545.3701172
465.0865479,545.2580566
466.0895386,545.0245361
466.1016846,543.3276978
466.0099487,543.2106934
466.2463684,540.9746704
466.5602417,541.069397
466.6802979,541.0324097
466.2562256,541.1575317
466.6345215,540.9624634
466.3051758,541.0767822
465.1004028,538.9959717
465.1703796,539.18396
465.0831909,539.2943115
464.3919678,536.9903564
464.2165833,535.475708
463.3856812,535.3952026
462.5153198,533.4125366
462.6262512,533.1254272
461.6428223,533.1607666
461.3557739,532.7496338
460.7599487,532.4807739
460.7675781,531.3031616
461.4338379,531.4663696
461.7133789,531.1584473
461.7067261,531.1385498
462.0493164,530.5979004
461.5267334,530.5870361
462.6964722,529.6948853
463.9472656,531.1050415
463.4848328,530.329834
462.601532,530.5628052
464.3172913,530.1331787
465.0494995,527.9487305
463.3366699,526.2698364
463.3959351,526.8327637
464.3563232,524.1644897
464.5063477,525.8555298
464.6899109,524.4086304
464.2218018,523.2788086
464.017395,521.7646484
463.6177979,519.8013306
463.3455811,520.2318115
463.1894531,519.6473389
464.5428467,519.4547119
464.5948486,518.7781982
464.6459961,518.1168213
464.4152527,517.1682129
464.3165588,516.4766235
464.1862183,516.1761475
464.5689697,516.045105
465.2461548,515.5327148
464.8516235,515.0877075
465.0197144,514.2976074
464.4004822,515.3499146
464.112854,514.3098145
464.4855652,514.5553589
464.8385315,513.6481323
463.9625854,513.9464722
466.1121521,514.9104004
465.4902954,515.8305664
465.3387756,515.6012573
465.3954468,515.7470093
464.3271484,514.7349243
464.3103638,515.2393799
463.2635193,515.8855591
463.2767334,516.3059082
463.2567749,518.6536865
463.7462463,518.354187
464.953949,518.4608765
462.9864807,517.4693604
464.4424744,518.8634033
463.1431885,517.4811401
462.032074,517.0435181
463.0811157,517.8919678
463.6931763,517.6643066
462.1600647,517.4058838
463.3959656,516.0402832
461.7627563,515.4113159
461.9750061,515.1471558
462.6651917,514.5217896
462.2322083,513.2930908
462.92099,513.7736816
463.6133118,510.6856079
465.6603699,511.1056519
465.0068665,510.763092
464.9681396,510.881134
465.4464417,509.3689575
464.7704163,508.6630554
466.0726013,508.5422974
465.1056213,507.8964539
467.2215271,508.046814
466.4078064,507.8797913
465.7243958,507.1183472
468.3865967,507.7466736
466.3648682,507.5957031
466.3330994,507.6647339
467.4291992,509.0264282
467.4804382,508.9952087
468.6485291,511.9333496
468.332428,513.8093872
467.8049927,516.368042
468.3337708,519.9234009
469.5251465,523.7317505
467.6196899,522.7719727
468.2402039,526.5717163
466.9524841,529.2669678
467.1844482,533.3297729
469.0152588,534.3944702
467.8058167,536.130249
467.9356079,537.6523438
466.063324,539.4135742
467.4436646,541.7808838
465.9957275,544.5311279
467.5947876,546.0158691
466.7322083,545.9071045
466.957489,545.9150391
466.9620667,547.9481201
465.5626221,547.4332886
466.3425293,549.6530151
465.9372864,550.4231567
465.690979,550.7513428
466.5932922,549.7536011
466.9300842,550.861084
466.9590454,551.2194824
465.7612305,551.6265869
465.3677063,551.7858276
466.5173645,551.5916138
466.6348572,551.5657959
465.2706909,551.3873291
466.7864685,551.3423462
466.5414124,551.375061
466.4332886,551.1009521
