M1,M2
131.9530487,467.0073547
134.9968705,468.8029568
133.5536804,467.1464844
132.8031238,465.3665914
135.2212067,465.2202454
135.3575709,466.4499553
135.808548,465.6363831
137.6833915,464.1033828
137.6953888,465.9482117
141.0833648,468.4831699
143.868866,466.1991882
143.3657253,462.8206215
146.4006195,463.9457703
149.5648271,467.9304847
147.6312103,465.7971191
144.2440614,463.6200047
150.4857788,464.3636169
151.5510839,464.6446834
150.6331635,465.5380554
148.604259,465.6794261
152.1164856,466.0901489
154.0384162,466.2272846
151.6302338,463.5560303
147.735481,461.935127
149.1280823,463.9739075
151.5286829,466.9466889
148.1134338,464.8566895
145.8450077,464.5477009
145.6949158,465.3061829
147.2546154,464.8229899
143.258606,465.3959961
142.1938918,460.8779904
139.7640228,464.3267517
141.6439038,468.6091766
140.5036469,465.7292786
138.2500585,464.205364
137.2001648,464.7440491
138.7985352,465.3354934
133.2541962,464.6812439
131.2356577,462.7482657
133.9947357,464.2260437
134.074491,465.5999092
131.8177643,464.0456543
128.3713378,463.2530051
128.6107635,463.7792969
131.2324084,465.9457628
126.0481796,465.8059692
123.9077282,462.9873152
123.3952026,465.469574
124.7078312,468.150164
122.0432739,465.6965332
120.4529873,463.8291791
121.2578659,464.8489075
122.151108,465.1977335
119.2218399,465.3285217
118.3570655,464.0610425
117.2439117,464.3608704
119.864368,466.2481609
118.5200653,464.039093
117.4432174,462.6468332
118.6807175,464.9247437
120.8143606,465.2719531
118.2009964,465.270813
116.1681078,464.53341
117.6349411,464.8204651
118.7554518,466.6930191
118.5585098,463.9232788
117.3975769,460.1877167
118.6776733,462.9549866
122.1138747,462.2508873
118.8354492,463.6828308
119.1517961,462.5739638
119.7473831,462.4360352
124.1368543,464.0301565
122.9265747,460.725769
120.5606958,459.299876
124.6625366,461.5359497
127.1015379,463.6777737
127.0819397,460.8776855
126.3497151,458.4008171
130.5101166,460.3953857
132.318472,463.05083
133.1111755,460.041626
131.0783497,458.4704665
137.0273743,460.2797546
139.0076563,460.8182589
142.0875397,460.2078857
141.1976003,459.1318239
