M1,M2
189.5921326,533.3447876
191.1348653,533.6457152
189.0728912,533.7000732
188.2517208,532.7907456
190.6698761,538.7675171
191.3242106,540.2694
190.0875244,542.1375732
188.6159599,540.5864471
191.3812866,541.9638062
191.4381276,545.3339569
189.5331879,545.4366455
189.687033,543.7910458
190.7840881,548.1273193
192.4518843,548.3945994
190.5411072,549.8065796
188.4271635,550.0809811
188.9456482,549.8930054
190.7286286,550.5978669
189.127655,550.6800537
186.4626211,550.5473459
188.9560699,550.668335
190.9771734,552.4298058
189.913269,550.4260254
188.75453,547.4300684
192.4156036,549.1920776
193.4633405,548.1887866
192.7712097,547.225647
192.4295836,542.7072681
197.5292053,545.6834717
199.5130298,545.5900281
200.2187195,542.72229
197.7685875,541.9775469
202.2419586,541.9661255
203.401982,541.2212075
201.6022797,540.3486938
198.1412066,537.712918
199.3614197,537.2290649
200.9511531,539.0411182
197.4549561,535.6896362
197.3082463,533.7012628
198.0507813,535.590332
198.0198124,535.8876136
196.6642761,533.5615234
194.3180274,532.606251
195.9891815,533.932373
198.8251684,534.5989964
199.187149,533.0627441
201.0395957,528.4695633
201.6985321,530.4957275
202.302655,530.9878494
202.146286,530.7953491
203.0994026,526.9516256
206.0350952,527.831543
206.5594734,528.7314674
206.5128479,528.3731079
204.0052163,525.8155434
204.1181641,525.767395
204.4805429,527.1388243
199.4532928,522.901001
194.4100392,520.9335698
194.9395752,518.8283081
197.223859,519.1552807
193.6701965,518.7868652
189.9602855,514.41752
191.8754272,516.9906616
192.2551643,516.0718851
190.8677673,516.3284302
189.0556895,512.8937316
188.9108734,517.3273926
190.8657327,518.7022639
188.022934,519.4668579
187.3668094,521.5959646
187.5756378,523.2592163
189.4046537,523.9706238
188.5475464,526.4898682
187.2766268,527.7296288
191.5387421,531.6187134
190.1848784,534.3228239
191.4098969,537.3023071
190.065556,535.3496624
190.1090393,540.8258057
194.0057985,543.7815272
190.6924896,545.0961304
193.5431318,544.7449661
192.1806335,547.1677856
193.5952122,548.9940917
193.2975159,548.6445313
191.4734508,549.497265
192.8374176,552.3121338
196.4653836,553.1220073
196.2745209,554.3527832
193.1250834,552.7994713
197.3213654,555.0209961
199.0230087,556.5580275
200.280426,556.7116699
200.4916023,555.5259891
201.6945496,557.0980835
203.1232258,559.0283914
202.2282715,557.2392578
201.0001543,556.3675743
200.9448547,557.6856689
199.8442497,560.3001793
198.4774933,558.0736084
195.8818111,555.5943407
197.6196289,558.5283203
196.7894649,560.6162442
195.2214355,556.6296387
194.084624,556.2914169
195.3891296,556.847229
194.8498328,557.689691
194.5982819,555.038269
194.8342631,553.4833717
195.395401,553.9454346
195.5176983,556.313609
197.2487946,553.3461304
195.3290194,552.679125
196.6882477,551.8146973
197.6419553,552.3370505
199.1333008,549.4391479
198.1783161,544.4904694
199.155426,546.6802368
199.5947352,548.0576385
197.9541779,544.8754883
195.8480809,541.8089607
194.5984802,542.5976563
193.3888651,542.0674141
194.1626129,539.2698975
191.8740825,538.6859553
193.6869812,536.4857788
191.9606167,534.9005422
