M1,M2
219.0658471,477.980066
219.9468542,477.9987004
218.222903,477.9618594
219.5867227,478.3027761
219.605189,478.2070384
219.0115479,478.08451
219.8787014,477.9124631
218.2635778,478.0755594
219.9888884,477.9216886
218.3007242,478.0634929
218.584455,477.939712
218.6762367,477.9595683
216.4642033,477.8772106
218.4692886,479.925216
217.8384399,479.9078036
217.9761507,479.7803264
217.2332516,479.7732698
217.2320297,479.7537496
218.3224287,479.7173668
216.4419184,479.7196273
216.4984477,479.5162992
218.4005249,479.7702761
216.2737512,479.6700783
216.2661752,479.6705977
217.7034937,479.3838427
217.7125818,479.3210663
217.6298575,479.4053791
217.7602368,479.4212336
216.097061,479.4764951
215.9658264,479.4775337
216.3883676,479.3695767
216.5759329,479.1916341
217.349258,479.0898784
217.1727053,479.4201338
217.4387792,479.4365076
217.3233074,479.5867737
216.5567487,478.8939734
216.6158288,478.6985267
217.2204519,476.4053728
217.5318898,476.5298257
217.0731796,476.3946504
217.0562559,476.402318
217.2156864,476.6273964
217.2460971,476.500469
216.861466,476.5701798
218.4422688,476.683391
217.8480167,476.3783988
217.7413581,476.3582982
217.5906032,476.3595812
218.1341302,476.5059982
217.9681013,476.2738938
218.007264,476.5313837
217.3021681,477.1596358
217.249885,477.1044049
216.5676239,477.2617276
216.6579393,477.0735513
216.7819035,474.9778603
216.9122522,474.6908304
216.6639267,476.3771464
216.6066032,476.456602
216.596782,474.6145212
218.195593,474.7430982
217.6822017,474.5997054
216.2878949,474.7940829
216.3046658,474.746489
216.3689849,474.844304
218.0030636,474.9975944
217.9386071,475.0000382
217.8619314,474.9269977
216.1604483,474.9035368
217.9426547,474.97004
217.8914256,474.9818315
217.2662283,474.3237645
217.2088437,474.3278579
217.1241338,474.2592774
216.6297587,474.1907886
217.0961059,476.2037554
215.2490764,474.0647472
215.2754089,474.098961
217.1869101,474.1314948
215.160212,476.1101255
214.9482999,476.218449
214.9082666,476.3278723
215.0527591,476.3695093
216.940891,476.5822157
216.7052736,476.5652921
214.5238646,476.4909991
216.2800135,476.5238994
216.0842308,476.6502463
217.272231,476.640807
217.3451187,476.7136031
217.7905558,476.3753746
217.9850402,476.5723487
216.4284773,476.417256
216.4947972,476.5714323
216.6957273,476.5637341
217.4069481,476.1100949
217.4493641,476.2284382
217.0195524,476.1797446
216.9526673,476.1871678
216.6406491,476.1533816
217.1003521,476.2502496
217.3113631,476.176201
217.3716192,476.351486
217.1296324,476.4195471
217.4587271,476.4696765
217.9871328,476.561718
217.9317949,476.5928465
216.4822114,477.1602468
216.433869,475.2800726
216.2533298,475.515354
217.8138487,477.9234299
217.8696142,477.5772589
216.4266444,477.5907917
217.8677661,477.6590361
217.7182637,477.8155645
217.8007894,477.6209426
219.1645327,477.7237675
218.6388,477.7091655
218.9841921,477.9806159
218.9491992,477.2280941
219.0723539,477.2186242
218.8069826,477.227086
218.6653463,477.3935426
220.1227501,477.2706171
218.3445913,477.4072892
218.3032292,477.3994689
218.5508368,477.4107412
218.6085574,477.3426495
218.9011623,477.2984769
219.0717735,477.2061606
220.1627223,477.1770177
219.7429151,477.6060963
219.8096169,477.5393487
219.6534092,477.5798554
219.8698425,478.0138522
220.0035973,477.913685
220.0770044,477.7639688
221.5972609,477.7243785
221.9201084,477.9688243
221.9569494,477.8129374
221.5767326,477.6769984
222.03668,477.7058969
222.0563682,477.7689482
222.4342023,478.3466737
222.4684773,478.3085803
222.5441602,477.9831208
223.08784,478.2583897
222.9140671,478.0696025
222.9254157,477.8197496
241.2757416,476.8743591
241.8357697,476.7697754
241.6123047,476.7461853
239.3040009,478.9507141
239.5627441,480.9672546
239.9628601,478.7153931
238.2467957,477.6637268
238.6065674,477.98526
238.5367126,477.1457825
238.6998901,477.8017578
238.339325,479.5679016
236.5617828,479.2300415
235.9100647,478.7782898
234.1692505,477.4733887
234.6221771,477.1403809
232.4986267,478.7311707
232.70401,477.716095
231.8825836,475.7660522
231.6811218,475.1046753
231.0662842,475.1658325
230.9897308,475.2310181
228.9101563,475.3591003
228.5990448,475.6383057
226.5876923,475.5133667
226.3362427,475.5537109
225.9304962,475.538208
225.9962769,475.5904846
222.7707825,475.1819153
220.5826263,475.1735535
220.3893127,475.4432068
220.7617645,475.2222595
220.0772858,475.0414734
220.0973206,475.1424255
218.1650085,474.6864624
216.689209,474.6672974
216.2776184,474.8291931
215.1399536,474.4580688
215.7818298,476.361969
213.9564209,474.4454346
213.9616852,475.846405
213.4955902,475.7958984
212.887619,476.9316101
212.0599976,476.5937195
213.478714,475.4779968
211.7478485,475.1988831
213.5408478,475.7870789
214.4209442,476.868866
216.4593048,477.7376709
216.9668579,477.9140015
218.6182861,477.7931519
218.7111053,476.0335083
222.8434296,476.4630432
224.2424469,476.3768311
226.6003113,474.0789795
227.7532654,474.9361267
230.2732239,475.5554504
230.1642761,475.5773926
231.0552673,475.7368164
233.0284882,475.2350159
236.8882751,475.3022156
237.4620972,475.0150146
241.0614014,475.0295715
240.6814117,474.6283875
243.9595642,474.6967163
245.8352356,475.0498352
246.247467,474.9515076
248.9209442,475.3820801
250.776062,475.1192322
250.8370209,475.1560364
251.6261292,475.4324341
253.7367249,473.2207336
253.4358368,474.9187317
253.0836334,474.8926086
253.3122406,475.490509
253.1486206,475.5861206
253.2735748,475.3682861
252.6122284,475.5820313
250.5832672,474.15271
250.9230347,475.4385986
250.7598724,475.2433167
250.7558594,475.2488098
247.3130188,474.944397
245.3138123,474.4346313
243.7614441,474.6855774
241.735733,474.6043091
239.7531586,475.1725464
239.7281036,475.2155762
237.5484924,474.8923035
234.8358765,474.9859009
234.5054321,475.1759949
232.0423584,473.6987
230.1300049,473.7564392
230.1973877,473.7533569
229.029068,473.6500549
227.4735107,474.0959778
226.7171783,473.8390198
226.3968811,473.4323425
225.0601044,473.7908325
225.0441895,475.7980957
224.5283203,473.8587036
224.4248047,474.0058594
225.99617,475.456604
225.5912781,473.0072632
226.7260437,474.7841492
226.6498718,474.8739014
226.2664795,474.6677856
229.4585876,473.1647949
229.7786102,473.2215576
230.4040527,473.1864929
231.7404327,473.1326294
231.7003937,473.1786804
233.6432953,475.0675354
235.2713165,473.9211426
238.2164154,473.223114
239.7505951,472.2553101
240.5184631,474.571106
240.361496,474.7989807
241.9660034,476.6638794
242.728714,476.1088867
243.9784241,475.8456421
243.6093445,477.8708191
244.3079376,476.0334473
244.326355,475.952179
243.144043,475.8747864
243.6056213,476.3668823
244.1730194,477.5528259
243.6350403,476.0766907
243.8624878,477.9112549
243.8517456,477.9240112
241.957077,477.9524841
239.8117523,477.5005798
240.1473694,476.1593018
238.0361633,476.4579468
236.9382019,477.8008728
237.2029724,476.3715515
236.418045,476.5906372
236.5132141,476.938385
234.7989044,477.1992188
234.2486877,475.9537659
233.7409515,477.2119141
233.7831116,477.300293
233.3257599,477.4543457
232.8759918,477.3262329
232.445816,477.175415
232.119812,477.1051025
233.5161896,477.127533
233.0189972,477.2405701
233.9543152,476.8885803
234.2206879,475.5325623
233.442688,475.271637
232.6414795,476.6152649
